,efp,auc,ado
0,EFP_4_5_1_k_1_b_2,0.9514629621982592,0.9757837516062288
0,EFP_4_5_1_k_2_b_0.5,0.9515586515680288,0.975460505575994
0,EFP_4_5_1_k_2_b_1,0.9516321631373884,0.9758436248564788
0,EFP_4_5_1_k_2_b_2,0.9513892306448952,0.9750884326635574
0,EFP_4_3_1_k_0.5_b_0.5,0.9512759668108004,0.9751979888271732
0,EFP_4_3_1_k_0.5_b_1,0.9513512542441928,0.9750922937333076
0,EFP_4_3_1_k_0.5_b_2,0.9513419850920212,0.9757844548441892
0,EFP_4_3_1_k_1_b_0.5,0.9516650351859964,0.9756620563954111
0,EFP_4_3_1_k_1_b_1,0.9516356534574528,0.9760108879940024
0,EFP_4_3_1_k_1_b_2,0.9517967263564324,0.9755412583742126
0,EFP_4_3_1_k_2_b_0.5,0.9514866389586968,0.9749996599518492
0,EFP_4_3_1_k_2_b_1,0.9516388061215114,0.9756020476581392
0,EFP_4_3_1_k_2_b_2,0.9513748701246296,0.9755379991934812
0,EFP_4_4_1_k_0.5_b_0.5,0.9510496432946144,0.9756004083801136
0,EFP_4_4_1_k_0.5_b_1,0.9512631654825636,0.9751908076289448
0,EFP_4_4_1_k_0.5_b_2,0.9512968141151859,0.9751916077448014
0,EFP_4_4_1_k_1_b_0.5,0.9516208450891792,0.9757532696760648
0,EFP_4_4_1_k_1_b_1,0.9516866106423956,0.9754004970307772
0,EFP_4_4_1_k_1_b_2,0.9513789376047048,0.9747979709078108
0,EFP_4_4_1_k_2_b_0.5,0.951835756677154,0.9758405983562486
0,EFP_4_4_1_k_2_b_1,0.9516967751865836,0.9757747177570992
0,EFP_4_4_1_k_2_b_2,0.9513264973877348,0.9748491179108622
0,EFP_4_4_2_k_0.5_b_0.5,0.9513585411323277,0.9754301012464176
0,EFP_4_4_2_k_0.5_b_1,0.9511139342078032,0.9748923041471704
0,EFP_4_4_2_k_0.5_b_2,0.9513270739077456,0.975057168323708
0,EFP_4_4_2_k_1_b_0.5,0.9516749865301806,0.9756804201578472
0,EFP_4_4_2_k_1_b_1,0.9519552021353632,0.9757398035725
0,EFP_4_4_2_k_1_b_2,0.9513673112444898,0.9754484056465866
0,EFP_4_4_2_k_2_b_0.5,0.95168415161035,0.9757668910458236
0,EFP_4_4_2_k_2_b_1,0.9516420381455712,0.9754932906392196
0,EFP_4_4_2_k_2_b_2,0.9513299035557978,0.9755492399693396
0,EFP_4_5_2_k_0.5_b_0.5,0.9511934069052732,0.9746435689590748
0,EFP_4_5_2_k_0.5_b_1,0.9512647248585924,0.9748332363862724
0,EFP_4_5_2_k_0.5_b_2,0.9513363245479166,0.9751092157270648
0,EFP_4_5_2_k_1_b_0.5,0.9514270446295946,0.9749076268460628
0,EFP_4_5_2_k_1_b_1,0.9518453045333308,0.9758037350948656
0,EFP_4_5_2_k_1_b_2,0.951562927096108,0.9755084732201436
0,EFP_4_5_2_k_2_b_0.5,0.9518363394531648,0.9758813076133424
0,EFP_4_5_2_k_2_b_1,0.9513955020450112,0.9755540797874894
0,EFP_4_5_2_k_2_b_2,0.9515085992071032,0.9754973696317484
0,EFP_4_5_3_k_0.5_b_0.5,0.9514334461737132,0.9751963489025584
0,EFP_4_5_3_k_0.5_b_1,0.9513670031484842,0.975466867228881
0,EFP_4_5_3_k_0.5_b_2,0.9514445535739184,0.9754292618137012
0,EFP_4_5_3_k_1_b_0.5,0.951569154736223,0.9756540941895632
0,EFP_4_5_3_k_1_b_1,0.951729342051186,0.9760764593159788
0,EFP_4_5_3_k_1_b_2,0.9515899607446079,0.9757037402126064
0,EFP_4_5_3_k_2_b_0.5,0.9515675692401936,0.9754331051390128
0,EFP_4_5_3_k_2_b_1,0.9511019262075812,0.9748212951242812
0,EFP_4_5_3_k_2_b_2,0.9511491110004541,0.9746380696192908
0,EFP_4_5_4_k_0.5_b_0.5,0.9514187349014408,0.9754373022718436
0,EFP_4_5_4_k_0.5_b_1,0.9511229202639696,0.9751195375959342
0,EFP_4_5_4_k_0.5_b_2,0.9512914843310872,0.975431662159351
0,EFP_4_5_4_k_1_b_0.5,0.9515498689598664,0.9757285437446293
0,EFP_4_5_4_k_1_b_1,0.9517657096358584,0.9756445122941604
0,EFP_4_5_4_k_1_b_2,0.9515358036556062,0.9751668438920452
0,EFP_4_5_4_k_2_b_0.5,0.9517001199946452,0.9754020775775092
0,EFP_4_5_4_k_2_b_1,0.9515768702563658,0.97560450656534
0,EFP_4_5_4_k_2_b_2,0.9514881412147248,0.9755308764462084
0,EFP_4_5_5_k_0.5_b_0.5,0.9513354369959002,0.9750336447910184
0,EFP_4_5_5_k_0.5_b_1,0.9512312798099736,0.9748659807012208
