Trial-ID,Status,Iteration,batch_size,dense_units_1,dense_units_2,dense_units_3,dropout_0,dropout_1,dropout_2,filter_1,filter_2,filter_3,learning_rate,Objective,accuracy,auc,loss
4,INTERMEDIATE,2,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.7000260949134827,0.6363866925239563,0.7000260949134827,0.6293030381202698
4,INTERMEDIATE,3,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.7401772141456604,0.6594666838645935,0.7401772141456604,0.5997400283813477
4,INTERMEDIATE,4,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.7719196081161499,0.6408133506774902,0.7719196081161499,0.5966625809669495
4,INTERMEDIATE,5,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.8008105158805847,0.7097600102424622,0.8008105158805847,0.541429877281189
4,INTERMEDIATE,6,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.8212404847145081,0.7238266468048096,0.8212404847145081,0.5256981253623962
4,INTERMEDIATE,7,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.8345823287963867,0.7395733594894409,0.8345823287963867,0.5133185982704163
4,INTERMEDIATE,8,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.8550779223442078,0.7504533529281616,0.8550779223442078,0.49173155426979065
4,INTERMEDIATE,9,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.8693415522575378,0.7762666940689087,0.8693415522575378,0.4525008201599121
4,COMPLETED,9,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.8693415522575378,0.7762666940689087,0.8693415522575378,0.4525008201599121
5,INTERMEDIATE,0,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.5762685537338257,0.5619999766349792,0.5762685537338257,0.6901983618736267
5,INTERMEDIATE,1,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.5951829552650452,0.5705733299255371,0.5951829552650452,0.6856048703193665
5,INTERMEDIATE,2,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.6090623736381531,0.5765600204467773,0.6090623736381531,0.6778196096420288
5,INTERMEDIATE,3,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.6302652359008789,0.5868533253669739,0.6302652359008789,0.6690219640731812
5,INTERMEDIATE,4,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.6565678715705872,0.6029999852180481,0.6565678715705872,0.6557193398475647
5,INTERMEDIATE,5,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.6843323111534119,0.6274399757385254,0.6843323111534119,0.6394752860069275
5,INTERMEDIATE,6,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.6991249322891235,0.6027466654777527,0.6991249322891235,0.6675776243209839
5,INTERMEDIATE,7,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.7276923656463623,0.6605733036994934,0.7276923656463623,0.6073748469352722
5,INTERMEDIATE,8,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.7498748302459717,0.6716933250427246,0.7498748302459717,0.5943086743354797
5,INTERMEDIATE,9,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.7697193622589111,0.6941333413124084,0.7697193622589111,0.5713641047477722
5,COMPLETED,9,512.0,248.0,220.0,116.0,0.3830112142416488,0.4735817767117908,0.0385388047264521,303.0,66.0,279.0,0.00013293762378538984,0.7697193622589111,0.6941333413124084,0.7697193622589111,0.5713641047477722
6,INTERMEDIATE,0,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.5955245494842529,0.5567600131034851,0.5955245494842529,0.6861733198165894
6,INTERMEDIATE,1,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.6598750948905945,0.6087999939918518,0.6598750948905945,0.6549258828163147
6,INTERMEDIATE,2,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.7140822410583496,0.6430533528327942,0.7140822410583496,0.6169573664665222
6,INTERMEDIATE,3,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.7633633017539978,0.6705600023269653,0.7633633017539978,0.5794546604156494
6,INTERMEDIATE,4,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.8028054237365723,0.6998133063316345,0.8028054237365723,0.5417786836624146
6,INTERMEDIATE,5,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.8223500847816467,0.7302133440971375,0.8223500847816467,0.5171467661857605
6,INTERMEDIATE,6,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.8235145211219788,0.7276399731636047,0.8235145211219788,0.5299772620201111
6,INTERMEDIATE,7,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.843184769153595,0.7550933361053467,0.843184769153595,0.4950283467769623
6,INTERMEDIATE,8,128.0,163.0,247.0,311.0,0.07729176665505944,0.10195117053501201,0.3762773332674585,78.0,113.0,316.0,0.0020354295528095517,0.8452980518341064,0.7507733106613159,0.8452980518341064,0.4919741153717041
